t,ratio
0,0
1,0.0003
2,0.0007
3,0.0011
4,0.0015
5,0.002
6,0.0024
7,0.0029
8,0.0034
9,0.004
10,0.0045
11,0.0051
12,0.0057
13,0.0063
14,0.0069
15,0.0076
16,0.0083
17,0.009
18,0.0097
19,0.0105
20,0.0113
21,0.0121
22,0.0129
23,0.0137
24,0.0146
25,0.0155
26,0.0164
27,0.0173
28,0.0183
29,0.0193
30,0.0203
31,0.0213
32,0.0223
33,0.0234
34,0.0245
35,0.0256
36,0.0268
37,0.0279
38,0.0291
39,0.0303
40,0.0315
41,0.0328
42,0.0341
43,0.0353
44,0.0367
45,0.038
46,0.0394
47,0.0408
48,0.0422
49,0.0436
50,0.045
51,0.0465
52,0.048
53,0.0495
54,0.0511
55,0.0526
56,0.0542
57,0.0558
58,0.0575
59,0.0591
60,0.0608
61,0.0625
62,0.0642
63,0.066
64,0.0677
65,0.0695
66,0.0714
67,0.0732
68,0.075
69,0.0769
70,0.0788
71,0.0808
72,0.0827
73,0.0847
74,0.0867
75,0.0887
76,0.0907
77,0.0928
78,0.0949
79,0.097
80,0.0991
81,0.1013
82,0.1034
83,0.1056
84,0.1078
85,0.1101
86,0.1123
87,0.1146
88,0.1169
89,0.1193
90,0.1216
91,0.1252
92,0.1288
93,0.1325
94,0.1362
95,0.1399
96,0.1437
97,0.1476
98,0.1515
99,0.1554
100,0.1594
101,0.1635
102,0.1676
103,0.1717
104,0.1759
105,0.1802
106,0.1818
107,0.1845
108,0.1883
109,0.1932
110,0.1993
111,0.2065
112,0.2149
113,0.2243
114,0.2349
115,0.2466
116,0.2657
117,0.2903
118,0.327
119,0.377
120,0.46081
121,0.623
122,0.673
123,0.7097
124,0.7343
125,0.7534
126,0.7651
127,0.7757
128,0.7851
129,0.7935
130,0.8007
131,0.8068
132,0.8117
133,0.8155
134,0.8182
135,0.8198
136,0.8241
137,0.8283
138,0.8324
139,0.8365
140,0.8406
141,0.8446
142,0.8485
143,0.8524
144,0.8563
145,0.8601
146,0.8638
147,0.8675
148,0.8712
149,0.8748
150,0.8784
151,0.8807
152,0.8831
153,0.8854
154,0.8877
155,0.8899
156,0.8922
157,0.8944
158,0.8966
159,0.8988
160,0.9009
161,0.903
162,0.9051
163,0.9072
164,0.9093
165,0.9113
166,0.9133
167,0.9153
168,0.9173
169,0.9192
170,0.9212
171,0.9231
172,0.925
173,0.9268
174,0.9286
175,0.9305
176,0.9323
177,0.934
178,0.9358
179,0.9375
180,0.9392
181,0.9409
182,0.9425
183,0.9442
184,0.9458
185,0.9474
186,0.9489
187,0.9505
188,0.952
189,0.9535
190,0.955
191,0.9564
192,0.9578
193,0.9592
194,0.9606
195,0.962
196,0.9633
197,0.9647
198,0.9659
199,0.9672
200,0.9685
201,0.9697
202,0.9709
203,0.9721
204,0.9732
205,0.9744
206,0.9755
207,0.9766
208,0.9777
209,0.9787
210,0.9797
211,0.9807
212,0.9817
213,0.9827
214,0.9836
215,0.9845
216,0.9854
217,0.9863
218,0.9871
219,0.9879
220,0.9887
221,0.9895
222,0.9903
223,0.991
224,0.9917
225,0.9924
226,0.9931
227,0.9937
228,0.9943
229,0.9949
230,0.9955
231,0.996
232,0.9966
233,0.9971
234,0.9976
235,0.998
236,0.9985
237,0.9989
238,0.9993
239,0.9997
240,1
